script_time,price_to_houston_united,price_to_houston_all
2019-10-05 01:24:43,$883,$800
2019-10-05 01:31:09,$883,$800
2019-10-05 08:01:39,$883,$800
2019-10-05 16:08:21,$883,$800
2019-10-06 00:01:33,$883,$800
2019-10-06 08:01:35,$883,$800
2019-10-06 16:01:45,$883,$800
2019-10-07 00:01:40,$883,$800
2019-10-07 08:01:11,$883,$800
2019-10-07 16:01:08,$883,$800
2018-10-08 08:01:52,$883,$800
2018-10-10 08:01:27,$803,$803
2019-10-12 09:46:10,$883,$800
2019-10-13 13:54:51,$883,$800
2019-10-17 16:18:46,$883,$800
2019-10-18 15:40:24,$883,$840
2019-10-19 04:39:34,$883,$840
2016-10-20 04:39:48,$883,$840
2016-10-21 04:39:54,$883,$840
2019-10-22 04:39:52,$883,$840
2019-10-23 04:39:48,$883,$840
2015-10-24 04:39:53,$883,$840
2019-10-25 04:39:39,$883,$840
2015-10-26 04:39:50,$883,$796
2019-10-27 04:39:26,$763,$768
2019-10-28 04:39:27,$763,$763
2019-10-29 04:40:00,$768,$768
2019-10-30 04:40:07,$763,$763
2019-10-31 04:39:56,$763,$763
2019-11-01 04:40:00,$883,$883
2019-11-01 14:12:24,$883,$883
