Issue Type,Issue key,Req Pro ID,JAMA ID,Summary,Description,Status,Module,Created,Updated,Reporter
Requirement,OTC-7015,SR1058.6,OTCnet-REQ-4613,Override Verification Record,The system shall assign an Overridden status to a check item if a user overrides a scanned check that is drawn on an account that has been identified as a red flag (check verification record) in offline mode.,Open,Check Capture Online,8/18/2017 11:06,8/18/2017 11:06,guerra_daniel@bah.com
Requirement,OTC-7150,SR437,OTCnet-REQ-2246,Scan a Check in Single Mode,The system shall provide the capability to allow a user to process one check at a time (Single Check Mode) in online mode.,Open,Check Capture Online,8/18/2017 11:08,8/18/2017 11:08,guerra_daniel@bah.com
Requirement,OTC-7165,SR439,OTCnet-REQ-2261,Initiate a Batch Creation,The system shall initiate a batch creation when the first check is scanned.,Open,Check Capture Online,8/18/2017 11:08,8/18/2017 11:08,guerra_daniel@bah.com
Requirement,OTC-7166,SR439.1,OTCnet-REQ-2262,Batch ID Creation,The system shall generate a Batch ID for each Batch created in online mode.,Open,Check Capture Online,8/18/2017 11:08,8/18/2017 11:08,guerra_daniel@bah.com
Requirement,OTC-7168,SR439.3,OTCnet-REQ-2264,Default ALC+2,The system shall default the ALC+2 to the terminal level for an OTC Endpoint  when the scan check operation is initiated for the first time only.,Open,Check Capture Online,8/18/2017 11:08,8/18/2017 11:08,guerra_daniel@bah.com
Requirement,OTC-7169,SR439.4,OTCnet-REQ-2265,Data elements on Check Capture (Single Mode) - Before Scanning,"The system shall display the following information in the Check Capture screen:
Mode of Check Capture - Single, Short Name, Description, ALC+2, Processing Method Indicator, Personal/Non-Personal Indicator (Item Type), accounting code information, and Form screen before scanning.",Open,Check Capture Online,8/18/2017 11:09,8/18/2017 11:09,guerra_daniel@bah.com
Requirement,OTC-7170,SR439.5,OTCnet-REQ-2266,Data elements on Check Capture (Single Mode) - After Scanning,"The system shall capture the following check information after the check is scanned in the single check mode:
Item Reference Number (Read Only), Bank Number (Read Only), Check Number (Read Only), Account Number (Read Only), and Check Capture Date and Time.",Open,Check Capture Online,8/18/2017 11:09,8/18/2017 11:09,guerra_daniel@bah.com
Requirement,OTC-7171,SR439.6,OTCnet-REQ-2267,Captured Information for Each Scanned Check,"The system shall automatically capture the following information for each check scanned.
o IRN (Individual Reference Number)
o ALC+2
o Capture Date - meaning the date the items scanned into the PCC OTC application.
o Check Magnetic Ink Character Recognition (MICR) Information including Bank Routing Number, Bank Account Number, Check Number, Auxiliary On-Us information if included in the MICR line on bottom of check.
o Cashier/Operator Name
o Item Type (Personal or Non-Personal)
o Processing Method (Customer Present/Customer Not Present)
o Batch ID Number (automatically generated by the OTCnet application)",Open,Check Capture Online,8/18/2017 11:09,8/18/2017 11:09,guerra_daniel@bah.com
Requirement,OTC-7172,SR439.7,OTCnet-REQ-2268,IRN Composition,The system shall assign a unique Item Reference Number (IRN) to each check scanned.,Open,Check Capture Online,8/18/2017 11:09,8/18/2017 11:09,guerra_daniel@bah.com
Requirement,OTC-7175,SR440.2,OTCnet-REQ-2271,Sticky Between Transactions,"The system shall ensure the selected ALC+2 selection is �sticky"" between transactions and between batches, within the same user session and �sticky� between the next user login.",Open,Check Capture Online,8/18/2017 11:09,8/18/2017 11:09,guerra_daniel@bah.com
Requirement,OTC-7177,SR441,OTCnet-REQ-2273,Select Processing Methods,The system shall provide the capability to allow a user to select one of the processing methods for processing checks.,Open,Check Capture Online,8/18/2017 11:09,8/18/2017 11:09,guerra_daniel@bah.com
Requirement,OTC-7176,SR440.3,OTCnet-REQ-2272,Display Corresponding Data Entry Screen,The system shall display the corresponding data entry screen based on the selected ALC +2.,Open,Check Capture Online,8/18/2017 11:09,8/18/2017 11:09,guerra_daniel@bah.com
